date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:59	170/170	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Jan%202024%2021:37:36%20GMT	https://western.edu/robots.txt		(from )
15:07:59	93177/93177	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2021:55:55%20GMT	https://western.edu/student-life/lead/inter-club-council/	C:/My%20Web%20Sites/ICC/western.edu/student-life/lead/inter-club-council/index.html	(from )
15:08:00	192410/192410	---M--	200	added ('OK')	image/jpeg	etag:%2264a5df0d-2ffe0%22	https://western.edu/wp-content/uploads/2020/07/LEAD.jpg	C:/My%20Web%20Sites/ICC/western.edu/wp-content/uploads/2020/07/LEAD.jpg	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:00	2656/2656	---MCZ	200	added ('OK')	text/css	etag:W/%226488afee-a60%22	https://western.edu/wp-content/plugins/wp-google-search/wgs2.css	C:/My%20Web%20Sites/ICC/western.edu/wp-content/plugins/wp-google-search/wgs2.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:00	227/227	---MCZ	200	added ('OK')	text/css	etag:W/%226488afee-e3%22	https://western.edu/wp-content/plugins/wp-google-search/wgs3.css	C:/My%20Web%20Sites/ICC/western.edu/wp-content/plugins/wp-google-search/wgs3.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:00	110035/110035	---MCZ	200	added ('OK')	text/css	etag:W/%22655d6b40-1add3%22	https://western.edu/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/ICC/western.edu/wp-includes/css/dist/block-library/style.min.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:00	3009/3009	---MCZ	200	added ('OK')	text/css	etag:W/%226488af35-bc1%22	https://western.edu/wp-content/plugins/column-shortcodes//assets/css/shortcodes.css	C:/My%20Web%20Sites/ICC/western.edu/wp-content/plugins/column-shortcodes/assets/css/shortcodes.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:01	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%226480e26e-2bf8%22	https://western.edu/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/ICC/western.edu/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:01	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%226480e26e-105a%22	https://western.edu/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/ICC/western.edu/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:03	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22655d6b41-15601%22	https://western.edu/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/ICC/western.edu/wp-includes/js/jquery/jquery.min.js	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:03	520497/520497	---MCZ	200	added ('OK')	text/css	etag:W/%22659f4068-7f131%22	https://western.edu/wp-content/themes/wcu/dist/css/style.css?theme=1.4.01&ver=6.4.2	C:/My%20Web%20Sites/ICC/western.edu/wp-content/themes/wcu/dist/css/stylea69d.css	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:03	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265086b8e-3509%22	https://western.edu/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/ICC/western.edu/wp-includes/js/jquery/jquery-migrate.min.js	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Jan%202024%2022:08:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ICC/www.googletagmanager.com/gtm.a5445.delayed	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:04	217660/217660	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2018%20Jan%202024%2022:08:01%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/ICC/connect.facebook.net/en_US/fbevents.js	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:04	42390/42390	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Jan%202024%2022:08:01%20GMT	https://sc-static.net/scevent.min.js	C:/My%20Web%20Sites/ICC/sc-static.net/scevent.min.js	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:04	1536/1536	---M--	200	added ('OK')	image/png	etag:%22649b19b6-6c7%22	https://western.edu/wp-content/uploads/2020/05/cropped-WCU_Icon-32x32.png	C:/My%20Web%20Sites/ICC/western.edu/wp-content/uploads/2020/05/cropped-WCU_Icon-32x32.png	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:04	12909/12909	---M--	200	added ('OK')	image/png	etag:%22649b19b6-3cf9%22	https://western.edu/wp-content/uploads/2020/05/cropped-WCU_Icon-192x192.png	C:/My%20Web%20Sites/ICC/western.edu/wp-content/uploads/2020/05/cropped-WCU_Icon-192x192.png	(from https://western.edu/student-life/lead/inter-club-council/)
15:08:05	11826/11826	---M--	200	added ('OK')	image/png	etag:%22649b19b6-37d6%22	https://western.edu/wp-content/uploads/2020/05/cropped-WCU_Icon-180x180.png	C:/My%20Web%20Sites/ICC/western.edu/wp-content/uploads/2020/05/cropped-WCU_Icon-180x180.png	(from https://western.edu/student-life/lead/inter-club-council/)
